;BP;Status;Batch;Date;Model;Change;Operation;Part number;Chinese Part Name;English Part Name;Workshop;Comments
0;BP24004128;Published;RAR0214;2024-06-18;A01G-R;;Add;5130807XST11A;后地板前横梁加强板;PLATE,RR FLOOR FR CROSS MBR REINF;SW;
1;BP24004128;Published;RAR0214;2024-06-18;A01G-R;;Add;5130477XST11A;后地板前横梁左加强板;PLATE,RR FLOOR FR CROSS MBR REINF,LH;SW;
2;BP24004128;Published;RAR0214;2024-06-18;A01G-R;;Add;5130397XST11A;后地板前横梁右加强板;PLATE,RR FLOOR FR CROSS MBR REINF,RH;SW;
3;BP24004128;Published;RAR0214;2024-06-18;A01G-R;;Add;5130883XST11A;后地板左纵梁前段加强板;PLATE,LH MAIN SILL REINF,FR;SW;
4;BP24004128;Published;RAR0214;2024-06-18;A01G-R;;Add;5130884XST11A;后地板右纵梁前段加强板;PLATE,RH MAIN SILL FR SECTION REINF;SW;
5;BP24000734;Approved;;;A01G-R;;Delete;ALAB000087;低膨胀型减震膨胀胶;LOW EXPANSION MASTIC SEALER;SW;Depleting inventory
6;BP24000734;Approved;;;A01G-R;;Delete;ALAB000087;低膨胀型减震膨胀胶;LOW EXPANSION MASTIC SEALER;SW;Depleting inventory
7;BP24000734;Approved;;;A01G-R;;Delete;ALAB000087;低膨胀型减震膨胀胶;LOW EXPANSION MASTIC SEALER;SW;Depleting inventory
8;BP24000734;Approved;;;A01G-R;;Add;ALAB000049;减震膨胀胶;MASTIC SEALER;SW;Depleting inventory
9;BP24000734;Approved;;;A01G-R;;Add;ALAB000049;减震膨胀胶;MASTIC SEALER;SW;Depleting inventory
10;BP24000734;Approved;;;A01G-R;;Add;ALAB000049;减震膨胀胶;MASTIC SEALER;SW;Depleting inventory
11;BP24007291;Published;;2024-07-13;B06-R;Before change;;ALAB000986;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
12;BP24007291;Published;;2024-07-13;B06-R;After Change;;ALAB000986;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
13;BP24007291;Published;;2024-07-13;B06-R;Before change;;ALAB000663;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
14;BP24007291;Published;;2024-07-13;B06-R;After Change;;ALAB000663;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
15;BP24007291;Published;;2024-07-13;B06-R;Before change;;ALAB000046;点焊密封胶;SPOT WELD SEALER;SW;inventory 0
16;BP24007291;Published;;2024-07-13;B06-R;After Change;;ALAB000046;点焊密封胶;SPOT WELD SEALER;SW;inventory 0
17;BP24007291;Published;;2024-07-13;B06-R;Before change;;ALAB000803;点焊结构胶;;SW;inventory 0
18;BP24007291;Published;;2024-07-13;B06-R;After Change;;ALAB000803;点焊结构胶;;SW;inventory 0
19;BP24007291;Published;;2024-07-13;B06-R;Before change;;ALAB000803;点焊结构胶;;SW;inventory 0
20;BP24007291;Published;;2024-07-13;B06-R;After Change;;ALAB000803;点焊结构胶;;SW;inventory 0
21;BP24007291;Published;;2024-07-13;B06-R;Before change;;ALAB000663;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
22;BP24007291;Published;;2024-07-13;B06-R;After Change;;ALAB000663;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
23;BP24007291;Published;;2024-07-13;B06-R;Before change;;ALAB000663;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
24;BP24007291;Published;;2024-07-13;B06-R;After Change;;ALAB000663;点焊结构胶;SPOT WELDING STRUCTURAL ADHESIVE;SW;inventory 0
